col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,label
0.0,0.0,0.0,0.0,4.0,104.0,0.0,0.05,0.0,0.0,M6,02,B10,R2,T2,V2,W0,L0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M1,03,B2,R3,T2,V2,W0,L0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M7,04,B1,R3,T3,V2,W0,L0
6.0,107.36666670000001,0.0,0.0,11.0,151.3,0.005555556,0.04,0.0,0.0,M7,02,B2,R1,T3,V2,W0,L0
5.0,46.5,0.0,0.0,17.0,219.5,0.011111111000000002,0.022222222000000003,0.0,0.0,M1,03,B2,R2,T13,V2,W0,L0
1.0,18.0,0.0,0.0,15.0,272.3333333,0.0,0.036666667,0.0,0.6,M6,02,B2,R3,T3,V2,W0,L0
1.0,12.0,1.0,11.0,74.0,6194.852381000001,0.015540541000000001,0.032152607,0.0,0.0,M7,02,B2,R9,T13,V2,W0,L0
0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.1,0.0,0.8,M6,02,B2,R3,T3,V2,W0,L0
8.0,174.5,0.0,0.0,10.0,195.5,0.0,0.006060606,0.0,0.0,M5,01,B1,R3,T2,V2,W0,L0
0.0,0.0,0.0,0.0,8.0,388.5,0.0,0.014285714,0.0,0.0,M6,03,B2,R6,T4,V2,W0,L0
1.0,0.0,0.0,0.0,8.0,1340.3,0.0,0.025,0.0,0.0,M9,01,B2,R3,T4,V2,W0,L0
0.0,0.0,0.0,0.0,4.0,214.0,0.0,0.05,0.0,0.0,M5,02,B2,R3,T3,V2,W0,L0
2.0,20.0,0.0,0.0,13.0,181.5,0.0,0.013333333000000001,0.0,0.0,M5,02,B2,R1,T1,V2,W0,L0
5.0,57.4,0.0,0.0,21.0,423.5,0.0,0.008695652,0.0,0.0,M9,02,B2,R1,T2,V2,W0,L0
0.0,0.0,3.0,12.0,21.0,330.0,0.069565217,0.09130434800000001,0.0,0.0,M4,02,B2,R4,T13,V2,W0,L0
0.0,0.0,0.0,0.0,16.0,277.3,0.0125,0.041666667000000004,0.0,0.0,M7,02,B2,R1,T2,V2,W0,L0
1.0,13.0,1.0,10.0,18.0,445.0,0.0,0.0035087720000000003,0.0,0.0,M7,01,B1,R4,T3,V2,W0,L0
1.0,29.2,0.0,0.0,7.0,75.6,0.0,0.025,0.0,0.0,M0,01,B1,R4,T2,V0,W1,L0
0.0,0.0,0.0,0.0,7.0,76.0,0.0,0.071428571,0.0,0.0,M6,02,B2,R7,T3,V2,W0,L0
15.0,290.2934078,2.0,302.0,49.0,2011.513765,0.020689655,0.024273772000000002,10.74211393,0.0,M7,01,B1,R2,T2,V2,W0,L0
0.0,0.0,0.0,0.0,26.0,648.4,0.0,0.018000000000000002,0.0,0.0,M5,01,B1,R1,T3,V2,W1,L0
4.0,82.0,0.0,0.0,32.0,1040.166667,0.011764706000000002,0.041176471,0.0,0.0,M6,02,B2,R2,T3,V2,W1,L0
0.0,0.0,0.0,0.0,12.0,465.25,0.0,0.016666667,0.0,0.0,M1,03,B2,R6,T2,V2,W1,L0
3.0,59.5,0.0,0.0,6.0,159.0,0.0,0.00625,0.0,0.0,M1,03,B2,R8,T6,V0,W0,L0
13.0,219.475,0.0,0.0,79.0,1828.8840480000001,0.0,0.01252331,5.329743627,0.0,M8,02,B2,R6,T2,V2,W0,L0
3.0,258.0,2.0,34.625,25.0,1364.8125,0.029761905,0.035714286,3.18693501,0.0,M1,01,B1,R3,T10,V2,W1,L0
4.0,985.5,4.0,308.0,6.0,328.0,0.0,0.015384615,0.0,0.0,M5,02,B2,R3,T2,V0,W0,L0
2.0,32.0,0.0,0.0,7.0,164.5,0.0,0.008333333,0.0,0.4,M6,02,B2,R1,T4,V2,W0,L0
8.0,354.8333333,1.0,57.0,19.0,2217.333333,0.008333333,0.017361111000000002,0.0,0.0,M5,03,B2,R1,T1,V2,W0,L0
0.0,0.0,0.0,0.0,6.0,529.5,0.0,0.04,44.443614000000004,0.0,M1,02,B2,R2,T1,V2,W0,L1
12.0,345.8333333,0.0,0.0,52.0,3258.0712120000003,0.0,0.00327381,0.0,0.0,M6,01,B2,R2,T2,V2,W1,L0
2.0,0.0,0.0,0.0,3.0,52.0,0.1,0.111111111,0.0,0.0,M6,01,B2,R1,T6,V2,W1,L0
1.0,178.0,0.0,0.0,3.0,110.0,0.0,0.016666667,0.0,0.2,M6,03,B2,R3,T4,V2,W0,L0
0.0,0.0,0.0,0.0,6.0,72.0,0.0,0.05,0.0,0.8,M6,02,B2,R4,T4,V2,W0,L0
2.0,18.75,4.0,355.5,57.0,1182.590278,0.015384615,0.027094017,14.15437174,0.0,M7,01,B1,R1,T10,V2,W0,L1
3.0,109.0,0.0,0.0,70.0,2002.25,0.0,0.004166667,0.0,0.0,M7,02,B2,R1,T2,V0,W0,L0
0.0,0.0,0.0,0.0,8.0,471.4,0.0,0.075,0.0,0.0,M4,02,B7,R2,T1,V2,W0,L0
12.0,81.5,0.0,0.0,61.0,2202.5791670000003,0.005797101,0.017153855,0.0,0.0,M5,02,B2,R1,T1,V2,W0,L0
1.0,15.2,2.0,62.6,84.0,4941.698611,0.017647059,0.038705882000000004,0.0,0.0,M9,01,B8,R6,T1,V2,W0,L0
6.0,122.8,0.0,0.0,7.0,175.4,0.0,0.018181818,0.0,0.0,M7,02,B5,R5,T2,V0,W0,L0
5.0,98.91666667,0.0,0.0,10.0,177.58333330000002,0.0,0.018181818,0.0,0.0,M7,04,B2,R7,T2,V2,W0,L0
2.0,124.0,0.0,0.0,13.0,495.0,0.0,0.028571429,0.0,0.0,M5,02,B4,R5,T1,V2,W0,L0
0.0,0.0,0.0,0.0,27.0,799.375,0.0074074069999999995,0.027601411,0.0,0.0,M1,03,B2,R2,T1,V2,W1,L0
0.0,0.0,0.0,0.0,5.0,53.0,0.04,0.08,0.0,0.0,M5,02,B5,R2,T2,V2,W1,L0
4.0,724.0,0.0,0.0,2.0,159.0,0.0,0.008,0.0,0.0,M5,04,B2,R1,T7,V0,W0,L0
4.0,68.73333333,0.0,0.0,44.0,2498.8666670000002,0.0,0.014444443999999999,11.33062869,0.0,M8,02,B2,R4,T1,V2,W0,L1
3.0,27.53333333,1.0,0.0,45.0,3141.2583329999998,0.02173913,0.040017252999999996,6.673695652,1.0,M6,03,B2,R1,T3,V2,W1,L1
4.0,32.75,0.0,0.0,13.0,704.0,0.0,0.024285714,76.79037287,0.0,M1,02,B2,R1,T2,V2,W0,L1
0.0,0.0,0.0,0.0,1.0,67.0,0.1,0.133333333,0.0,0.0,M5,03,B3,R1,T3,V2,W0,L0
4.0,102.08333329999999,0.0,0.0,21.0,863.1666667000002,0.0,0.015833333,0.0,0.0,M1,01,B1,R1,T8,V2,W0,L0
0.0,0.0,0.0,0.0,5.0,14.0,0.12,0.16,0.0,0.6,M6,02,B4,R2,T3,V2,W0,L0
4.0,601.9,0.0,0.0,41.0,2517.583333,0.007751938000000001,0.013881932,20.55494533,0.0,M9,03,B2,R1,T1,V2,W0,L1
13.0,295.92857139999995,5.0,17.9,154.0,6759.311928,0.0057674169999999995,0.02883646,0.0,0.0,M7,02,B2,R3,T10,V2,W0,L0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M6,03,B2,R7,T3,V2,W0,L0
11.0,280.33666669999997,0.0,0.0,20.0,337.85333330000003,0.0,0.016296296000000002,0.0,0.0,M9,02,B2,R2,T5,V0,W0,L0
1.0,26.5,0.0,0.0,6.0,110.0,0.066666667,0.1,0.0,0.0,M7,03,B2,R1,T2,V2,W0,L1
0.0,0.0,0.0,0.0,10.0,192.75,0.033333333,0.028888888999999997,0.0,0.0,M1,01,B2,R3,T1,V2,W1,L0
0.0,0.0,0.0,0.0,4.0,67.5,0.0,0.05,0.0,0.6,M6,02,B2,R1,T2,V2,W0,L0
0.0,0.0,0.0,0.0,6.0,67.0,0.016666667,0.05,0.0,0.0,M3,02,B4,R1,T1,V2,W0,L0
1.0,7.0,0.0,0.0,17.0,2648.5,0.0125,0.03125,0.0,0.0,M5,02,B2,R1,T2,V2,W0,L0
5.0,1283.0,3.0,148.5,50.0,3246.9773809999997,0.0,0.003846154,0.0,0.0,M5,02,B2,R3,T2,V0,W0,L0
2.0,255.0,0.0,0.0,10.0,173.43333330000002,0.03,0.025714286,0.0,0.0,M1,03,B2,R1,T1,V2,W1,L0
17.0,2629.253968,24.0,2050.433333,705.0,43171.23338,0.004851285,0.015431438,0.7638289559999999,0.0,M6,02,B2,R1,T14,V2,W1,L0
1.0,11.0,1.0,10.0,74.0,3487.12471,0.0027397259999999996,0.009519461,0.0,0.0,M7,03,B2,R4,T3,V2,W1,L0
0.0,0.0,0.0,0.0,32.0,2479.342857,0.0,0.010967741999999999,0.0,0.0,M7,02,B2,R3,T7,V2,W0,L0
0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.1,0.0,0.0,M1,02,B4,R1,T2,V2,W0,L0
0.0,0.0,0.0,0.0,19.0,465.63333330000006,0.0,0.026315789,0.0,0.0,M7,01,B1,R1,T2,V0,W1,L0
2.0,59.5,1.0,20.0,96.0,5604.977381000001,0.004888889,0.016624762,5.3448988889999995,0.0,M6,02,B7,R1,T6,V2,W0,L1
1.0,11.0,1.0,8.0,79.0,2693.582331,0.0,0.003430424,0.0,0.0,M1,01,B1,R3,T2,V2,W0,L0
0.0,0.0,0.0,0.0,10.0,126.83333329999999,0.04,0.06,0.0,0.0,M6,02,B5,R1,T1,V2,W0,L0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M1,01,B1,R4,T1,V2,W1,L0
0.0,0.0,0.0,0.0,7.0,38.0,0.0,0.042857143,0.0,0.0,M5,02,B2,R3,T1,V2,W0,L0
2.0,75.0,0.0,0.0,9.0,349.0,0.0,0.01,0.0,0.0,M1,02,B4,R3,T8,V2,W0,L0
3.0,102.0,2.0,108.0,51.0,1742.325216,0.0036363640000000004,0.009228841,0.0,0.0,M6,01,B1,R1,T2,V2,W1,L0
2.0,13.0,0.0,0.0,66.0,2061.926508,0.013235294,0.014202682,0.0,0.0,M3,03,B2,R6,T3,V2,W0,L0
0.0,0.0,0.0,0.0,20.0,927.45,0.011111111000000002,0.027248677000000002,8.000740741,0.0,M5,01,B1,R3,T1,V2,W0,L0
0.0,0.0,0.0,0.0,17.0,842.75,0.0,0.04,0.0,0.0,M1,02,B5,R3,T1,V2,W0,L0
11.0,227.2272727,0.0,0.0,44.0,2038.052273,0.007719298,0.028421052999999998,0.0,0.0,M7,02,B2,R3,T8,V2,W1,L0
0.0,0.0,0.0,0.0,9.0,125.25,0.0,0.033333333,0.0,0.0,M7,02,B10,R4,T3,V2,W1,L0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M6,02,B4,R1,T3,V2,W0,L0
6.0,52.0,1.0,24.0,56.0,3763.166667,0.003389831,0.01480226,10.37042373,0.0,M5,02,B2,R1,T1,V2,W0,L1
3.0,39.3,0.0,0.0,29.0,316.2,0.006666666999999999,0.02,0.0,0.0,M9,02,B2,R3,T6,V2,W0,L0
3.0,90.5,2.0,16.0,47.0,2986.916667,0.022278912,0.044557822999999996,0.0,0.0,M1,02,B2,R8,T1,V2,W0,L0
0.0,0.0,0.0,0.0,5.0,112.0,0.0,0.02,0.0,0.0,M5,03,B2,R1,T2,V2,W1,L0
6.0,62.5,0.0,0.0,60.0,3222.75873,0.014367816,0.016601512,0.0,0.6,M6,03,B2,R2,T4,V2,W0,L0
1.0,0.0,0.0,0.0,23.0,975.75,0.0,0.05030303,16.197,0.0,M6,02,B2,R6,T6,V2,W1,L0
0.0,0.0,0.0,0.0,2.0,155.5,0.1,0.15,0.0,0.0,M1,03,B2,R3,T1,V2,W1,L0
5.0,54.0,0.0,0.0,16.0,487.66666669999995,0.0,0.026315789,0.0,0.0,M6,01,B1,R2,T3,V2,W0,L0
1.0,8.5,0.0,0.0,14.0,543.8333332999999,0.0,0.007692308,0.0,0.0,M6,02,B2,R3,T5,V0,W1,L0
6.0,47.3,0.0,0.0,14.0,858.2,0.0,0.010526316,0.0,0.0,M8,04,B1,R3,T5,V0,W0,L1
0.0,0.0,0.0,0.0,73.0,2784.8,0.0027397259999999996,0.015317559,6.135982447999999,0.0,M7,02,B2,R5,T2,V2,W1,L0
1.0,28.0,1.0,47.0,13.0,224.5,0.0,0.014285714,0.0,0.0,M5,01,B1,R1,T8,V0,W0,L0
2.0,318.2,0.0,0.0,6.0,117.0,0.05,0.05,0.0,0.0,M7,02,B2,R1,T1,V2,W0,L0
7.0,149.91666669999998,0.0,0.0,31.0,1539.791667,0.0,0.011728395,19.1105,0.0,M6,02,B2,R4,T2,V2,W0,L0
11.0,2047.234848,9.0,1146.666667,45.0,3641.213151,0.002636535,0.014311471000000001,7.753880157999999,0.0,M5,02,B2,R1,T2,V2,W0,L1
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M5,02,B2,R2,T3,V2,W0,L0
1.0,55.5,1.0,18.0,19.0,444.75,0.0,0.010526316,21.2112655,0.0,M7,02,B5,R1,T10,V0,W0,L1
1.0,10.0,0.0,0.0,39.0,1152.5,0.011965812,0.017802198,0.0,0.0,M5,03,B2,R1,T3,V2,W0,L0
0.0,0.0,0.0,0.0,7.0,357.75,0.014285714,0.077142857,0.0,0.0,M7,04,B1,R4,T10,V2,W1,L0
0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.0,M5,02,B2,R3,T1,V2,W0,L0
13.0,407.57,0.0,0.0,146.0,2650.780526,0.0,0.011184211000000001,0.0,0.0,M8,04,B1,R1,T2,V2,W1,L0
0.0,0.0,0.0,0.0,5.0,116.66666670000001,0.04,0.05,0.0,0.0,M8,03,B2,R1,T3,V2,W1,L0
0.0,0.0,1.0,0.0,37.0,1358.75,0.0017543860000000001,0.03245614,0.0,0.0,M5,02,B5,R3,T1,V2,W0,L0
0.0,0.0,0.0,0.0,22.0,987.6,0.009090909,0.015151515,0.0,0.0,M8,02,B2,R1,T4,V2,W1,L0
10.0,141.6333333,0.0,0.0,13.0,386.3,0.0,0.023529412000000003,0.0,0.0,M9,02,B2,R1,T3,V2,W0,L0
0.0,0.0,0.0,0.0,1.0,48.5,0.0,0.1,0.0,0.0,M7,01,B1,R1,T3,V1,W0,L0
0.0,0.0,0.0,0.0,7.0,128.0,0.028571429,0.057142857000000005,0.0,0.6,M6,03,B2,R1,T3,V2,W0,L0
0.0,0.0,0.0,0.0,5.0,291.2,0.18,0.18666666699999998,0.0,0.0,M8,03,B2,R8,T20,V2,W0,L0
1.0,13.5,1.0,28.0,88.0,1759.275703,0.004545455,0.020644542,0.0,0.0,M5,02,B2,R1,T2,V2,W0,L0
0.0,0.0,0.0,0.0,5.0,75.5,0.02,0.013333333000000001,0.0,0.0,M5,01,B1,R2,T9,V2,W1,L0
2.0,83.6,0.0,0.0,43.0,1582.7,0.004545455,0.014393939,0.0,0.0,M7,03,B2,R3,T1,V2,W0,L0
7.0,327.23571430000004,4.0,260.0,42.0,443.4990476,0.0,0.022666667,18.50321705,0.0,M3,02,B4,R6,T1,V2,W0,L1
2.0,16.0,0.0,0.0,29.0,1412.5,0.007142857,0.046428570999999995,0.0,0.0,M6,02,B2,R6,T13,V2,W0,L0
0.0,0.0,0.0,0.0,14.0,267.25,0.0,0.021428571,0.0,0.0,M7,03,B2,R1,T11,V0,W1,L0
1.0,13.0,0.0,0.0,2.0,20.0,0.0,0.05,0.0,0.0,M5,03,B2,R3,T2,V2,W0,L0
3.0,171.0,0.0,0.0,31.0,441.1369048,0.0,0.008823529,0.0,0.0,M1,02,B2,R1,T20,V2,W0,L0
0.0,0.0,0.0,0.0,33.0,778.8166667,0.0,0.022424242,0.0,0.0,M5,02,B5,R1,T1,V2,W0,L0
0.0,0.0,0.0,0.0,3.0,258.0,0.0,0.066666667,0.0,0.0,M6,03,B2,R3,T4,V2,W1,L0
1.0,21.0,3.0,116.0,21.0,613.6666667000001,0.008333333,0.023611111,0.0,0.0,M5,01,B2,R1,T1,V2,W0,L0
1.0,0.0,0.0,0.0,21.0,658.25,0.035497835,0.057482992999999996,0.0,0.0,M7,03,B2,R5,T13,V2,W0,L0
0.0,0.0,0.0,0.0,15.0,281.73809520000003,0.0,0.001923077,57.82473775,0.0,M7,02,B4,R1,T2,V0,W0,L1
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,M7,03,B2,R1,T13,V2,W0,L0
1.0,12.0,0.0,0.0,36.0,493.30339010000006,0.0,0.01660575,0.0,0.0,M8,02,B2,R5,T2,V2,W0,L0
0.0,0.0,0.0,0.0,8.0,370.0,0.0,0.025,0.0,0.0,M6,02,B2,R3,T14,V2,W1,L0
0.0,0.0,0.0,0.0,3.0,63.0,0.0,0.033333333,0.0,0.0,M7,05,B11,R8,T11,V2,W0,L0
0.0,0.0,0.0,0.0,48.0,1900.675,0.008510638000000001,0.009574468000000001,0.0,0.0,M7,01,B1,R3,T10,V2,W1,L1
0.0,0.0,0.0,0.0,19.0,1440.166667,0.026315789,0.040350877,0.0,0.0,M7,01,B1,R1,T1,V2,W0,L0
0.0,0.0,0.0,0.0,28.0,623.9666667,0.023214286,0.036309523999999996,0.0,0.6,M6,03,B2,R1,T6,V2,W0,L0
1.0,464.0,0.0,0.0,19.0,1834.0833329999998,0.02,0.03125,0.0,0.0,M5,02,B2,R2,T10,V2,W0,L0
6.0,112.125,8.0,224.0,114.0,3459.4799780000003,0.0015748029999999998,0.009848144,5.648688126000001,0.0,M7,02,B2,R3,T8,V2,W1,L1
9.0,199.3856838,0.0,0.0,38.0,1342.434295,0.0,0.022542075,22.02071582,0.0,M7,02,B2,R2,T2,V2,W1,L1
4.0,34.0,0.0,0.0,46.0,627.3083333,0.0,0.004166667,0.0,0.0,M5,02,B2,R7,T8,V0,W0,L0
0.0,0.0,0.0,0.0,6.0,285.5,0.0,0.04,18.169535699999997,0.0,M7,01,B1,R1,T8,V0,W0,L1
0.0,0.0,0.0,0.0,15.0,803.3333332999999,0.0,0.038888888999999996,0.0,0.0,M1,04,B1,R1,T2,V2,W0,L0
6.0,63.68333333,0.0,0.0,8.0,129.7611111,0.017857143,0.06892393299999999,0.0,0.0,M4,03,B2,R3,T3,V2,W0,L0
1.0,39.2,0.0,0.0,23.0,526.0,0.0,0.002173913,0.0,0.0,M8,04,B2,R3,T2,V2,W0,L0
10.0,323.55,0.0,0.0,46.0,1044.8,0.017021276999999998,0.019756838999999998,0.0,0.0,M6,03,B2,R7,T4,V2,W0,L0
0.0,0.0,0.0,0.0,14.0,258.0,0.164285714,0.173809524,0.0,0.6,M6,03,B2,R6,T13,V2,W0,L0
1.0,53.9,0.0,0.0,34.0,422.5230768999999,0.0,0.006015038,36.31643173,0.0,M9,01,B1,R2,T2,V2,W0,L1
0.0,0.0,0.0,0.0,10.0,139.70833330000002,0.0,0.02,0.0,0.0,M5,02,B2,R1,T2,V2,W0,L0
1.0,112.0,0.0,0.0,37.0,2043.5,0.005555556,0.016666667,12.3578472,0.0,M5,02,B5,R3,T6,V2,W0,L1
1.0,15.0,1.0,157.0,36.0,3010.532051,0.0,0.014619883,0.0,0.0,M6,02,B2,R3,T2,V2,W1,L0
1.0,72.66666667,4.0,345.0,24.0,879.9090909,0.0,0.035897436,6.482798269,0.0,M5,02,B4,R4,T1,V2,W0,L1
