listings.id,listings.host_id,listings.property_type,listings.room_type,listings.accommodates,listings.price,listings.security_deposit,listings.cleaning_fee,listings.guests_included,listings.extra_people,listings.minimum_nights,listings.availability_365,listings.cancellation_policy,listings.neighborhood_id
819027,4301802,P1,R1,2,603,0,250,2,0,4,242,C1,9
2060008,10545005,P1,R1,2,947,950,400,1,0,3,338,C2,9
2029595,7412102,P1,R1,2,662,800,200,1,0,2,67,C1,9
956185,5135504,P1,R1,5,993,995,400,2,100,2,14,C1,9
663012,3348460,P1,R1,2,801,0,0,1,0,2,284,C3,9
2218946,4932280,P1,R1,4,649,750,150,2,150,1,0,C3,9
554801,2727541,P1,R1,4,709,744,283,3,74,3,106,C2,9
12243016,12877384,P3,R2,2,28,135,15,1,20,2,79,C1,32
2515629,12877384,P3,R2,2,25,120,15,1,25,2,113,C1,32
13522012,22608682,P3,R2,4,58,100,10,1,7,1,285,C1,32
13635380,22608682,P3,R2,2,42,100,10,1,7,1,291,C1,32
14823659,10917550,P1,R1,10,212,95,40,2,15,1,332,C2,32
13802701,54878019,P1,R2,3,55,200,15,1,15,2,70,C1,121
14474109,12243051,P1,R1,4,110,400,95,1,0,2,87,C1,121
14756092,12243051,P1,R1,4,109,400,95,1,0,2,93,C1,121
13575637,12243051,P1,R1,4,110,400,69,1,0,2,80,C1,121
7115518,3946198,P1,R2,3,100,100,10,2,50,1,24,C3,121
13042885,6452801,P1,R3,4,143,150,53,1,43,2,364,C3,121
7652138,6452801,P1,R3,6,151,150,51,1,41,1,360,C3,121
13879412,6452801,P1,R3,6,147,150,51,1,35,2,365,C3,121
18508483,87055,P1,R1,4,82,250,44,3,20,2,307,C2,121
14759741,78298499,P5,R2,4,85,100,50,2,15,2,133,C1,121
16648346,6358796,P1,R1,6,75,400,55,3,10,10,86,C1,121
16683598,89596337,P1,R1,4,139,300,80,1,0,3,90,C1,121
13623767,736860,P5,R1,5,210,150,50,2,20,2,35,C1,121
14186740,16540355,P8,R1,8,350,500,150,4,35,2,359,C1,121
8942453,25464317,P6,R2,3,88,150,25,2,30,1,78,C1,35
15379941,25464317,P1,R2,4,98,150,30,3,30,1,54,C1,35
4503332,20059524,P1,R1,5,125,200,40,3,20,1,320,C1,35
4503103,20059524,P1,R1,5,110,200,40,3,25,1,335,C1,35
10404678,53574774,P1,R1,7,65,99,39,4,29,3,213,C1,35
11879348,12243051,P1,R1,8,199,400,128,3,0,2,80,C1,36
13019175,12243051,P1,R1,4,129,400,104,2,10,2,0,C1,36
16519674,108615911,P1,R1,4,115,0,100,1,0,3,11,C3,36
9342355,4853028,P1,R1,5,125,500,80,2,30,3,266,C1,36
7557114,4853028,P1,R1,4,120,500,80,2,25,2,63,C1,36
3599882,18137125,P1,R1,4,159,100,30,4,25,2,354,C2,36
4912516,22052322,P1,R1,6,147,300,35,2,18,3,82,C1,36
18371067,11528430,P1,R2,4,69,100,15,1,0,1,6,C2,36
2612989,2880338,P1,R2,6,140,150,25,1,10,1,357,C1,36
17859080,34130188,P1,R1,12,618,250,90,1,0,2,281,C1,36
13746300,46939427,P24,R1,6,125,500,50,2,50,2,336,C1,36
3787859,5404952,P1,R2,1,45,100,25,1,0,2,0,C1,36
12778664,69499361,P8,R1,8,175,500,200,4,35,2,269,C1,36
12791995,13514899,P1,R1,5,451,0,250,1,80,2,22,C3,42
1727129,9101874,P1,R1,2,901,0,150,1,400,4,143,C1,5
307295,1580856,P1,R1,2,656,662,132,2,0,3,165,C1,5
1277374,6922472,P1,R1,2,623,0,150,2,0,2,143,C2,5
7607378,39892789,P1,R2,2,299,641,200,1,100,1,0,C3,5
3207746,14913272,P1,R1,5,576,700,450,2,200,2,338,C2,5
8988738,337164,P3,R2,6,45,500,35,2,20,1,332,C1,49
9708726,337164,P3,R2,2,35,350,20,1,10,1,288,C1,49
14809010,21534429,P1,R1,2,125,100,27,1,15,1,133,C1,50
13374951,12243051,P1,R1,8,209,400,146,4,0,2,77,C1,50
12548231,12243051,P1,R1,8,169,400,147,4,0,2,70,C1,50
8757763,12243051,P1,R1,6,109,400,109,2,0,2,96,C1,50
16516883,12243051,P1,R1,4,89,400,109,1,0,2,83,C1,50
14782040,12243051,P1,R1,6,149,400,123,1,0,2,97,C1,50
16517187,12243051,P1,R1,6,149,400,123,1,0,2,69,C1,50
8759078,12243051,P1,R1,6,109,400,123,3,0,2,78,C1,50
16517889,12243051,P1,R1,4,79,400,109,1,0,2,97,C1,50
14474320,12243051,P1,R1,8,259,400,147,1,0,2,55,C1,50
16517516,12243051,P1,R1,6,229,400,123,1,0,2,88,C1,50
9384919,10129776,P9,R1,4,238,500,125,1,0,3,308,C1,50
8614442,10129776,P9,R1,6,389,500,150,1,0,3,284,C1,50
1964520,10129776,P31,R1,6,389,500,150,1,0,3,261,C1,50
2140051,10921133,P1,R1,4,81,100,120,2,20,30,92,C1,50
3677577,10921133,P1,R2,4,80,100,60,2,20,28,106,C2,50
165952,791089,P1,R1,4,225,200,35,4,15,3,339,C1,50
166706,791089,P1,R1,8,280,300,50,6,25,4,298,C1,50
14431243,209564,P8,R2,2,80,150,45,1,13,1,53,C1,50
9977717,51270838,P1,R1,9,199,400,100,4,10,2,273,C1,50
14351872,72176805,P1,R1,5,127,150,54,4,25,1,39,C2,50
7800946,16707815,P8,R2,2,90,150,20,4,0,1,363,C1,50
4309643,22130167,P1,R1,5,179,500,35,1,299,1,353,C2,50
15296005,97384539,P8,R1,4,600,250,55,1,0,2,33,C1,50
5347873,24264063,P4,R2,2,51,100,65,2,35,1,86,C1,50
6227959,24264063,P1,R1,6,88,150,85,4,35,1,64,C1,50
17961202,2429955,P1,R1,2,140,150,50,2,20,2,10,C1,50
15111314,7287163,P1,R1,4,115,250,65,3,45,3,42,C2,50
420422,2090154,P8,R2,2,70,450,40,1,10,2,211,C1,50
17634614,27081337,P1,R1,8,389,500,79,6,25,2,342,C1,50
15028762,7748106,P1,R1,4,222,500,65,2,50,3,58,C1,50
14679000,43058066,P8,R2,1,65,400,30,1,0,3,346,C3,50
956521,40731,P1,R1,1,99,250,80,1,5,3,130,C1,50
4178970,8852597,P1,R1,4,150,500,75,4,50,2,102,C2,50
14109026,5617385,P1,R1,4,118,100,29,1,0,1,16,C1,50
12169862,44002119,P1,R1,7,172,500,70,4,25,2,331,C1,50
6644005,21924626,P8,R1,5,399,200,25,1,0,1,194,C1,50
12918724,2471877,P3,R2,2,75,550,40,1,0,2,339,C2,50
18160234,3294051,P1,R1,2,90,0,50,1,20,2,118,C2,50
10286240,52911620,P6,R1,7,429,750,85,7,0,2,269,C2,50
12698881,5176421,P8,R2,2,150,200,40,1,0,1,349,C1,50
11374910,11122067,P6,R2,2,54,150,21,2,15,3,93,C1,50
8626799,45374411,P1,R1,6,185,185,5,2,25,4,314,C1,50
15774617,473121,P8,R1,10,700,0,100,1,0,2,58,C2,50
18564279,61097730,P8,R1,13,499,500,119,11,25,2,361,C1,50
7308653,35658410,P1,R1,4,100,100,30,1,0,2,11,C2,50
14203636,17929135,P1,R1,3,131,200,30,1,0,2,9,C3,50
16972611,113537364,P1,R1,2,75,500,100,2,30,1,5,C2,50
4720091,24382398,P1,R1,2,99,250,20,1,15,1,350,C1,50
13418984,46496942,P3,R1,8,300,500,125,1,0,2,229,C1,50
12973134,22446863,P1,R2,2,64,95,15,1,0,2,68,C1,50
13126529,73052846,P1,R1,5,300,250,125,3,25,3,334,C2,50
8792217,18106581,P1,R1,3,150,250,25,1,0,1,0,C1,50
14115710,35412645,P6,R1,9,169,400,75,2,10,3,152,C1,51
13531342,35412645,P6,R2,2,49,210,25,1,15,3,84,C1,51
14115706,35412645,P6,R2,2,41,110,25,1,15,3,166,C1,51
15112347,95738925,P1,R1,4,65,200,25,4,15,1,194,C2,51
6104431,4228390,P1,R1,6,295,500,120,1,0,5,158,C1,52
3413977,33004,P1,R1,8,350,300,150,4,25,30,302,C1,52
1502700,33004,P1,R1,10,475,200,250,4,25,4,336,C1,52
7817784,33004,P1,R1,8,350,500,150,3,0,30,296,C1,52
5694572,33004,P1,R1,4,275,300,150,2,0,30,286,C1,52
5648923,33004,P1,R1,7,350,750,150,3,0,30,365,C1,52
1502674,33004,P1,R1,5,245,200,125,2,25,3,339,C1,52
15451733,12243051,P1,R1,11,200,400,95,1,0,2,70,C1,52
16216019,12243051,P1,R1,4,129,400,110,1,0,2,81,C1,52
13449584,12243051,P1,R1,6,249,400,123,6,0,2,44,C1,52
17025043,12243051,P1,R2,2,69,400,87,1,0,2,96,C1,52
13018322,12243051,P1,R1,4,169,400,108,2,0,2,1,C1,52
15830509,12243051,P1,R1,4,69,400,87,1,0,2,0,C1,52
6715,15365,P1,R1,14,255,500,90,5,10,4,315,C1,52
387336,15365,P1,R1,7,240,500,90,5,10,4,342,C1,52
13981116,10323618,P1,R1,2,109,250,80,1,0,2,76,C1,52
6570622,11072965,P1,R1,3,117,350,35,3,25,3,5,C2,52
