hosts.host_id,hosts.host_since,hosts.host_response_time,hosts.host_response_rate,hosts.host_neighbourhood,hosts.tf_listings.host_id
4301802,2012,1,90,731,1
5057848,2013,3,100,1558,1
10545005,2013,1,100,176,1
7412102,2013,1,100,176,1
5135504,2013,1,100,176,1
3348460,2012,1,90,176,1
4932280,2013,2,100,731,1
105029733,2016,3,100,176,1
2727541,2012,1,100,176,1
1702217,2012,3,100,176,1
9102181,2013,5,40,176,1
54878019,2016,3,100,1760,2
12877384,2014,2,94,1630,2
25715675,2015,3,100,1630,1
47584620,2015,3,100,1630,3
16807770,2014,3,100,1630,1
22608682,2014,3,100,1630,8
56917234,2016,3,100,794,5
42865476,2015,3,100,1630,3
14932947,2014,3,100,1630,3
10917550,2013,2,97,1630,1
5855398,2015,3,100,1630,1
18665600,2014,3,100,1403,1
12243051,2014,2,91,368,220
22658916,2014,3,100,170,1
12416635,2014,3,100,599,3
11099237,2014,3,100,1760,1
48711859,2015,3,100,599,1
38117321,2015,3,100,599,1
3946198,2012,3,100,1403,1
107297682,2016,3,100,1403,1
82396791,2016,3,90,599,1
2619611,2012,2,79,1403,1
71423,2010,3,100,491,4
50492515,2015,3,100,1760,3
6341314,2013,3,100,1403,4
6452801,2013,1,90,599,3
87055,2010,3,100,599,2
78298499,2016,2,100,1403,1
18714715,2014,3,100,1760,6
50762433,2015,3,100,1403,1
6358796,2013,2,100,599,3
89596337,2016,3,100,1403,8
20528154,2014,3,100,1760,1
4393114,2012,3,100,599,1
44184344,2015,2,100,599,1
17347207,2014,3,100,1403,2
6264764,2013,2,100,1403,1
5245228,2013,3,100,1760,1
39054259,2015,2,100,1760,1
56217746,2016,3,100,1403,1
22759330,2014,2,100,1403,1
124602792,2017,3,100,599,1
6852314,2013,3,100,1760,1
63391513,2016,3,100,1403,1
55269552,2016,2,100,1760,1
736860,2011,1,88,1403,1
14341160,2014,3,100,1403,1
16707041,2014,3,100,1403,1
43282155,2015,3,100,599,1
16540355,2014,3,100,599,1
247034,2010,2,100,599,1
25464317,2015,3,100,77,6
69058640,2016,3,100,77,3
107284383,2016,2,95,2407,7
48029484,2015,2,94,77,1
56935298,2016,3,100,2656,3
20059524,2014,1,81,77,2
53574774,2016,2,100,77,1
1840073,2012,2,96,799,1
38459530,2015,3,100,77,1
15739917,2014,3,100,248,1
61228,2009,3,100,491,2
791089,2011,2,94,248,4
43446278,2015,3,100,592,1
108615911,2016,1,100,592,1
8032665,2013,3,100,248,1
7487276,2013,2,100,592,1
4853028,2013,2,100,592,2
18137125,2014,1,70,592,1
22052322,2014,1,100,592,1
63417928,2016,3,100,248,1
11528430,2014,3,100,592,2
76808747,2016,3,100,592,1
2880338,2012,3,98,760,2
60726537,2016,3,100,592,1
39081603,2015,3,100,248,1
120233125,2017,3,100,248,1
34130188,2015,3,100,592,1
63282581,2016,3,100,592,1
46939427,2015,3,100,592,2
7481341,2013,2,100,248,1
5041472,2013,3,100,248,1
38610306,2015,3,100,592,1
1179987,2011,3,100,248,1
9358769,2013,3,100,248,1
103847672,2016,3,100,592,1
5404952,2013,3,100,592,3
69499361,2016,3,100,248,1
49260140,2015,2,100,248,1
8307051,2013,3,100,421,1
13514899,2014,2,100,1203,1
6445031,2013,2,90,210,1
9101874,2013,1,100,210,1
5016796,2013,3,100,210,1
1580856,2012,1,100,210,1
6922472,2013,3,100,210,1
39892789,2015,2,100,210,2
14913272,2014,1,100,210,1
2143007,2012,2,100,210,1
337164,2011,3,100,1104,2
30235297,2015,2,100,322,1
21534429,2014,1,78,322,1
30507677,2015,3,100,322,1
3959896,2012,2,100,322,1
5961606,2013,3,100,322,1
10129776,2013,2,100,322,6
10921133,2013,2,100,322,2
8549643,2013,3,99,203,2
40319547,2015,3,100,1049,2
3251769,2012,3,86,322,1
209564,2010,3,93,290,6
44998203,2015,3,100,322,1
60534847,2016,2,100,322,1
37607540,2015,2,100,322,1
51270838,2015,3,100,322,8
64320133,2016,2,90,1049,1
72176805,2016,3,100,1049,2
16707815,2014,2,100,322,1
22130167,2014,1,50,322,1
13904021,2014,3,100,1538,6
36057694,2015,2,80,322,1
90503184,2016,3,100,1538,1
97384539,2016,1,100,1049,1
24264063,2014,2,93,322,2
50732175,2015,2,100,248,1
31228659,2015,3,100,1049,1
2429955,2012,2,100,322,1
40617584,2015,3,100,322,1
31719241,2015,3,100,322,1
118486219,2017,3,100,322,1
7506318,2013,3,100,322,1
122388378,2017,3,100,322,1
