neighborhoods.neighbourhood_cleansed,neighborhoods.neighbourhood_group_cleansed,neighborhoods.state,neighborhoods.country,neighborhoods.neighborhood_id,neighborhoods.tf_listings.neighborhood_id
3,C0,S1,C1,9,11
6,C0,S20,C2,32,25
37,C0,S20,C2,121,61
9,C0,S20,C2,35,19
10,C0,S20,C2,36,37
1,C0,S21,C1,37,1
11,C0,S10,C1,42,1
2,C0,S1,C1,5,9
13,C0,S20,C2,49,2
14,C0,S20,C2,50,143
15,C0,S20,C2,51,8
16,C0,S20,C2,52,115
38,C0,S20,C2,122,57
36,C0,S20,C2,120,240
42,C0,S20,C2,126,112
17,C0,S20,C2,53,35
1,C0,S1,C1,1,10
21,C0,S26,C3,61,26
318,C0,S1195,C3,6245,1
22,C0,S27,C3,65,515
191,C0,S27,C3,412,546
196,C0,S27,C3,446,100
195,C0,S27,C3,443,83
21,C0,S27,C3,62,346
193,C0,S27,C3,424,393
194,C0,S27,C3,432,320
27,C0,S27,C3,83,279
326,C0,S27,C3,700,41
23,C0,S27,C3,70,764
192,C0,S27,C3,417,325
26,C0,S27,C3,80,207
28,C0,S27,C3,88,254
29,C0,S27,C3,92,67
319,C0,S27,C3,670,115
318,C0,S27,C3,665,57
21,C0,S28,C3,63,57
22,C0,S28,C3,67,69
23,C0,S691,C3,4615,3
1334,C0,S269,C12,2210,913
1343,C0,S269,C12,2225,759
1345,C0,S269,C12,2230,976
1774,C0,S269,C12,3344,720
1336,C0,S269,C12,2212,630
23,C0,S28,C3,69,77
1333,C0,S269,C12,2209,816
1348,C0,S269,C12,2239,692
1347,C0,S269,C12,2237,1464
1342,C0,S269,C12,2224,500
22,C0,S26,C3,66,44
26,C0,S28,C3,108,25
193,C0,S28,C3,429,72
23,C0,S39,C3,114,1
930,C0,S194,C16,1679,6
28,C0,S26,C3,164,22
25,C0,S27,C3,77,46
317,C0,S27,C3,663,40
318,C0,S28,C3,691,13
319,C0,S28,C3,681,19
31,C0,S27,C3,96,58
192,C0,S28,C3,419,37
31,C0,S28,C3,97,18
28,C0,S28,C3,86,40
24,C0,S27,C3,72,24
194,C0,S28,C3,437,38
196,C0,S28,C3,447,13
317,C0,S28,C3,2405,7
27,C0,S28,C3,84,34
195,C0,S28,C3,894,16
191,C0,S28,C3,414,99
26,C0,S1047,C3,7760,1
320,C0,S27,C3,672,76
26,C0,S31,C3,81,1
28,C0,S31,C3,4369,8
27,C0,S29,C3,5433,3
30,C0,S27,C3,95,5
25,C0,S36,C3,102,1
28,C0,S444,C3,4611,1
29,C0,S28,C3,103,4
32,C0,S27,C3,104,91
26,C0,S26,C3,109,17
1337,C0,S269,C12,2214,656
25,C0,S26,C3,75,14
25,C0,S28,C3,78,8
25,C0,S140,C3,4688,1
23,C0,S26,C3,111,66
23,C0,S782,C3,4901,2
22,C0,S540,C3,3712,4
193,C0,S38,C3,3717,4
193,C0,S61,C3,2994,3
23,C0,S38,C3,113,2
23,C0,S405,C3,2906,1
320,C0,S34,C3,676,1
23,C0,S609,C3,4017,1
23,C0,S1319,C3,6606,1
192,C0,S26,C3,418,30
192,C0,S46,C3,4015,4
191,C0,S668,C3,4439,1
23,C0,S40,C3,115,2
23,C0,S97,C3,422,10
33,C0,S20,C2,117,19
34,C0,S20,C2,118,26
39,C0,S20,C2,123,31
45,C0,S20,C2,129,125
49,C0,S44,C2,134,124
64,C0,S44,C2,149,81
430,C0,S44,C2,852,142
491,C0,S44,C2,914,43
382,C0,S44,C2,801,18
1508,C0,S44,C2,2919,22
1879,C0,S44,C2,3698,1
50,C0,S44,C2,135,923
418,C0,S44,C2,840,162
1090,C46,S246,C2,1880,19
608,C0,S130,C2,1128,72
53,C0,S44,C2,138,18
56,C0,S44,C2,141,57
105,C0,S44,C2,233,124
469,C0,S44,C2,891,16
61,C0,S44,C2,146,180
57,C0,S44,C2,142,184
426,C0,S44,C2,848,247
389,C0,S44,C2,808,834
467,C0,S44,C2,889,172
447,C0,S44,C2,869,21
62,C0,S44,C2,147,29
65,C0,S44,C2,150,24
66,C0,S44,C2,151,25
67,C0,S44,C2,152,30
68,C0,S44,C2,153,23
69,C0,S44,C2,154,72
72,C0,S44,C2,157,68
73,C0,S44,C2,158,50
27,C0,S26,C3,85,35
193,C0,S26,C3,427,26
28,C0,S61,C3,5676,1
193,C0,S985,C3,5658,1
28,C0,S48,C3,166,1
26,C0,S41,C3,4870,1
30,C0,S28,C3,167,5
177,C0,S51,C3,359,15
85,C0,S51,C3,186,2
89,C0,S57,C5,199,73
89,C0,S137,C5,768,3
155,C0,S49,C3,314,4
177,C0,S52,C3,2519,7
85,C0,S52,C3,2657,2
99,C0,S51,C3,221,1
303,C0,S131,C5,623,97
304,C0,S131,C5,5825,1
304,C0,S57,C5,2390,1
308,C0,S57,C5,632,49
22,C0,S405,C3,3697,1
333,C0,S42,C4,715,174
193,C0,S405,C3,4880,2
103,C0,S44,C2,231,315
1633,C62,S461,C2,3178,847
104,C0,S44,C2,232,3
471,C0,S44,C2,893,89
106,C0,S44,C2,234,273
108,C2,S62,C7,236,68
108,C2,S63,C7,237,272
117,C2,S63,C7,248,209
257,C7,S63,C7,562,78
118,C2,S62,C7,251,78
118,C2,S63,C7,250,309
109,C2,S62,C7,238,101
109,C2,S63,C7,239,444
548,C7,S63,C7,1036,16
116,C2,S63,C7,247,197
216,C2,S63,C7,486,280
1286,C0,S259,C10,2144,45
438,C0,S44,C2,860,377
431,C0,S44,C2,853,63
419,C0,S44,C2,841,51
482,C0,S44,C2,905,56
74,C0,S44,C2,159,302
411,C0,S44,C2,833,39
109,C2,S64,C7,1101,38
216,C2,S64,C7,488,31
513,C9,S62,C7,2913,2
262,C3,S63,C7,570,52
216,C2,S62,C7,487,69
530,C10,S63,C7,1001,13
535,C11,S63,C7,1006,19
528,C10,S63,C7,998,51
526,C10,S63,C7,995,19
513,C9,S63,C7,964,30
256,C7,S63,C7,561,26
508,C8,S63,C7,959,17
116,C2,S62,C7,1102,54
525,C10,S63,C7,993,30
529,C10,S63,C7,999,64
524,C10,S63,C7,991,24
258,C7,S62,C7,1035,10
550,C13,S62,C7,1040,12
550,C13,S63,C7,1041,50
1886,C12,S63,C7,3727,1
536,C11,S63,C7,1008,20
529,C10,S62,C7,1000,4
509,C8,S63,C7,960,16
765,C36,S198,C7,1331,190
789,C36,S198,C7,1377,198
1505,C8,S62,C7,3737,3
218,C3,S63,C7,490,10
560,C13,S63,C7,1051,12
516,C9,S63,C7,969,12
551,C14,S63,C7,1042,32
512,C9,S63,C7,963,20
566,C17,S63,C7,1060,2
117,C2,S62,C7,249,54
514,C7,S63,C7,966,6
119,C0,S20,C2,253,76
120,C0,S20,C2,254,10
121,C0,S1,C1,255,16
121,C0,S9,C1,257,1
124,C0,S68,C2,266,28
126,C0,S68,C2,268,3
16,C0,S68,C2,270,15
128,C0,S68,C2,272,38
129,C0,S68,C2,273,17
133,C0,S68,C2,277,68
134,C0,S68,C2,278,8
136,C0,S68,C2,280,8
137,C0,S68,C2,281,14
140,C0,S68,C2,284,4
135,C0,S68,C2,279,27
123,C0,S68,C2,265,18
146,C0,S68,C2,291,8
149,C0,S68,C2,294,11
150,C0,S68,C2,295,16
151,C0,S70,C8,297,739
151,C0,S69,C8,296,264
151,C0,S71,C8,298,12
151,C0,S74,C8,302,3
153,C0,S69,C8,305,11
153,C0,S70,C8,306,28
154,C0,S50,C3,307,1
155,C0,S52,C3,313,9
155,C0,S51,C3,310,10
101,C0,S975,C3,6737,1
75,C0,S51,C3,318,5
75,C0,S52,C3,317,1
152,C0,S70,C8,304,14
122,C0,S1,C1,264,4
161,C0,S68,C2,335,26
162,C0,S68,C2,336,41
84,C0,S52,C3,2611,1
189,C0,S51,C3,2419,4
176,C0,S52,C3,357,3
177,C0,S49,C3,3985,3
102,C0,S50,C3,407,3
190,C0,S52,C3,410,3
90,C0,S51,C3,203,2
191,C0,S26,C3,415,29
191,C0,S1199,C3,6252,1
1767,C0,S269,C12,3331,825
29,C0,S26,C3,90,6
24,C0,S28,C3,2902,3
192,C0,S101,C3,430,1
194,C0,S26,C3,433,30
192,C0,S61,C3,434,2
192,C0,S96,C3,421,2
191,C0,S1362,C3,6744,1
192,C0,S102,C3,435,2
191,C0,S46,C3,440,3
191,C0,S403,C3,2728,1
191,C0,S989,C3,5663,1
194,C0,S29,C3,2831,2
198,C0,S110,C9,453,334
582,C0,S111,C9,1088,5
200,C0,S110,C9,458,1669
199,C0,S110,C9,456,571
199,C0,S111,C9,457,69
209,C0,S111,C9,473,24
209,C0,S110,C9,474,354
200,C0,S111,C9,459,84
203,C0,S110,C9,462,58
212,C0,S110,C9,477,143
208,C0,S113,C10,469,633
215,C0,S113,C10,483,414
215,C0,S114,C10,482,213
208,C0,S114,C10,471,208
254,C0,S114,C10,558,60
254,C0,S113,C10,557,115
249,C0,S110,C9,547,84
1074,C0,S243,C9,1862,739
618,C0,S130,C2,1139,28
638,C0,S182,C2,1163,95
626,C0,S182,C2,1147,69
1196,C0,S259,C10,2011,181
438,C0,S182,C2,1201,49
630,C0,S182,C2,1151,45
671,C0,S182,C2,1202,37
215,C0,S115,C10,484,20
384,C0,S44,C2,803,154
374,C0,S44,C2,793,222
460,C0,S44,C2,882,139
292,C0,S130,C2,609,155
735,C0,S130,C2,1273,102
637,C0,S182,C2,1162,45
250,C0,S113,C10,549,118
639,C0,S182,C2,1164,70
205,C0,S113,C10,465,23
208,C0,S115,C10,470,23
447,C0,S182,C2,1160,16
1170,C0,S259,C10,1979,122
1217,C0,S259,C10,2040,125
