actor.id,actor.gender,actor.birth_year,actor.birth_country,actor.tf.movie_actor
Actor_360796,G1,1902,C12,22
Actor_2385470,G2,1982,C19,1
Actor_1242148,G1,1967,C19,7
Actor_1573622,G1,1989,C2,1
Actor_1367292,G1,1933,C31,50
Actor_868594,G1,1905,C2,182
Actor_487253,G1,1952,C40,11
Actor_196163,G1,1933,C2,14
Actor_2616342,G2,1946,C2,11
Actor_1319814,G1,1873,C2,94
Actor_1051214,G1,1982,C9,1
Actor_949029,G1,1955,C44,21
Actor_617199,G1,1933,C10,11
Actor_1215024,G1,1916,C2,40
Actor_856495,G1,1916,C53,19
Actor_1620757,G1,1936,C40,27
Actor_91847,G1,1936,C38,16
Actor_963366,G1,1948,C2,30
Actor_347706,G1,1956,C2,27
Actor_2511652,G2,1966,C180,4
Actor_1398364,G1,1909,C2,31
Actor_1272365,G1,1958,C5,17
Actor_2464397,G2,1973,C2,3
Actor_1415874,G1,1924,C12,18
Actor_802319,G1,1947,C2,65
Actor_404034,G1,1910,C2,52
Actor_350107,G1,1894,C12,54
Actor_2497659,G2,1963,C24,3
Actor_864846,G1,1958,C9,26
Actor_1002835,G1,1949,C36,9
Actor_1617027,G1,1950,C10,5
Actor_974873,G1,1940,C64,11
Actor_1287304,G1,1907,C2,29
Actor_1123707,G1,1958,C2,1
Actor_597257,G1,1923,C36,29
Actor_672279,G1,1950,C2,10
Actor_477592,G1,1924,C2,38
Actor_1380644,G1,1975,C9,13
Actor_1704767,G1,1970,C112,5
Actor_2248489,G2,1970,C2,6
Actor_2309163,G2,1952,C40,2
Actor_2207284,G2,1937,C44,2
Actor_2515147,G2,1970,C10,15
Actor_2431604,G2,1896,C9,3
Actor_247173,G1,1955,C2,34
Actor_2476798,G2,1949,C2,13
Actor_752786,G1,1938,C12,5
Actor_2220791,G2,1982,C70,1
Actor_525071,G1,1958,C25,1
Actor_372973,G1,1972,C2,3
Actor_1226087,G1,1963,C2,25
Actor_2173376,G2,1929,C12,15
Actor_1539118,G1,1928,C5,21
Actor_2447421,G2,1964,C2,4
Actor_2082015,G2,1947,C2,6
Actor_1031798,G1,1966,C40,6
Actor_2467429,G2,1967,C40,3
Actor_1604126,G1,1976,C22,1
Actor_1535446,G1,1899,C2,1
Actor_2538321,G2,1980,C2,11
Actor_1167738,G1,1926,C2,5
Actor_1422897,G1,1867,C2,3
Actor_1086636,G1,1910,C2,17
Actor_2065124,G2,1944,C44,3
Actor_1355927,G1,1970,C3,9
Actor_94523,G1,1939,C12,11
Actor_1695836,G1,1920,C10,38
Actor_116288,G1,1949,C2,86
Actor_105707,G1,1969,C2,36
Actor_578558,G1,1952,C2,71
Actor_105432,G1,1960,C2,1
Actor_2072499,G2,1980,C36,3
Actor_1383174,G1,1970,C73,3
Actor_1472088,G1,1909,C2,60
Actor_1827888,G2,1975,C19,2
Actor_1192731,G1,1977,C27,4
Actor_1892795,G2,1972,C58,7
Actor_1237526,G1,1977,C2,2
Actor_169266,G1,1981,C2,4
Actor_65481,G1,1929,C2,52
Actor_1931136,G2,1962,C2,11
Actor_145445,G1,1973,C12,1
Actor_1586272,G1,1968,C2,3
Actor_1119456,G1,1940,C2,11
Actor_1437033,G1,1944,C5,20
Actor_781974,G1,1945,C2,7
Actor_1477491,G1,1949,C2,25
Actor_1843906,G2,1975,C40,1
Actor_1605693,G1,1960,C22,3
Actor_782460,G1,1938,C2,10
Actor_2195548,G2,1919,C123,3
Actor_312757,G1,1967,C2,4
Actor_345530,G1,1951,C25,7
Actor_263237,G1,1898,C2,247
Actor_2046214,G2,1971,C49,2
Actor_451363,G1,1948,C2,2
Actor_1693693,G1,1946,C22,1
Actor_1278830,G1,1970,C40,3
Actor_2281741,G2,1963,C40,11
Actor_880731,G1,1910,C2,115
Actor_1247314,G1,1892,C2,74
Actor_255349,G1,1937,C2,3
Actor_798016,G1,1875,C2,7
Actor_1448547,G1,1929,C2,20
Actor_2216050,G2,1950,C10,33
Actor_1495180,G1,1962,C2,30
Actor_840538,G1,1943,C70,9
Actor_138623,G1,1971,C12,8
Actor_1762285,G2,1930,C12,5
Actor_1546086,G1,1942,C12,12
Actor_95943,G1,1929,C12,16
Actor_2127294,G2,1892,C2,2
Actor_2140581,G2,1980,C156,4
Actor_231922,G1,1938,C2,11
Actor_1033615,G1,1932,C36,9
Actor_1383492,G1,1938,C12,33
Actor_1284406,G1,1950,C3,9
Actor_2305237,G2,1941,C12,9
Actor_1413446,G1,1924,C2,3
Actor_1725989,G1,1941,C10,10
Actor_2502064,G2,1946,C40,5
Actor_752320,G1,1947,C12,27
Actor_529578,G1,1908,C9,4
Actor_459830,G1,1963,C2,11
Actor_1040106,G1,1974,C10,3
Actor_580883,G1,1911,C12,4
Actor_541244,G1,1900,C2,7
Actor_1293306,G1,1905,C5,15
Actor_1385376,G1,1952,C31,30
Actor_2303683,G2,1947,C4,2
Actor_316869,G1,1890,C2,3
Actor_2379840,G2,1911,C69,39
Actor_2410342,G2,1942,C2,2
Actor_810708,G1,1960,C412,3
Actor_348502,G1,1970,C2,60
Actor_160214,G1,1954,C2,10
Actor_182557,G1,1923,C71,33
Actor_1722361,G1,1975,C58,1
Actor_1303945,G1,1964,C2,49
Actor_1795644,G2,1908,C12,26
Actor_2671762,G2,1958,C39,9
Actor_256440,G1,1964,C2,24
Actor_1454577,G1,1969,C19,2
Actor_406832,G1,1969,C2,8
Actor_515315,G1,1937,C2,85
Actor_1582560,G1,1884,C2,107
Actor_582983,G1,1989,C22,4
Actor_695940,G1,1947,C25,4
Actor_406102,G1,1962,C2,7
Actor_2200040,G2,1964,C65,1
Actor_2083170,G2,1952,C2,1
Actor_1179720,G1,1889,C2,95
Actor_1633668,G1,1925,C47,2
Actor_1084764,G1,1874,C2,252
Actor_477740,G1,1949,C20,20
