director.id,director.gender,director.birth_year,director.birth_country,director.tf.movie_director
Director_339,G1,1975.0,C7,1
Director_1739778,G2,1976.0,C8,1
Director_682,G1,1971.0,C14,1
Director_705,G1,1956.0,C8,3
Director_732,G1,1955.0,C8,8
Director_1128,G1,1974.0,C9,4
Director_1484,G1,1958.0,C7,3
Director_1490,G1,1924.0,C11,1
Director_1740234,G2,1960.0,C22,1
Director_2043,G1,1887.0,C7,11
Director_2119,G1,1922.0,C7,3
Director_1740427,G2,1981.0,C7,1
Director_2260,G1,1978.0,C12,3
Director_2669,G1,1945.0,C5,9
Director_2954,G1,1953.0,C14,1
Director_3031,G1,1951.0,C7,1
Director_3132,G1,1895.0,C13,1
Director_3301,G1,1937.0,C7,4
Director_4187,G1,1984.0,C7,1
Director_4277,G1,1928.0,C14,1
Director_4506,G1,1944.0,C7,9
Director_4536,G1,1942.0,C18,1
Director_4583,G1,1930.0,C30,1
Director_4621,G1,1966.0,C7,1
Director_1741593,G2,1946.0,C20,1
Director_1741601,G2,1978.0,C2,1
Director_4729,G1,1983.0,C7,3
Director_4805,G1,1966.0,C7,4
Director_4898,G1,1930.0,C18,2
Director_4899,G1,1869.0,C23,1
Director_1741793,G2,1904.0,C2,1
Director_5122,G1,1947.0,C1,1
Director_5317,G1,1982.0,C27,1
Director_5372,G1,1961.0,C22,3
Director_5480,G1,1959.0,C10,1
Director_5517,G1,1989.0,C7,1
Director_5701,G1,1919.0,C1,2
Director_5715,G1,1972.0,C7,1
Director_5960,G1,1982.0,C7,1
Director_6152,G1,1899.0,C2,3
Director_6179,G1,1970.0,C28,1
Director_6321,G1,1960.0,C7,1
Director_6396,G1,1938.0,C4,3
Director_6434,G1,1963.0,C29,2
Director_6438,G1,1943.0,C20,2
Director_6685,G1,1908.0,C26,1
Director_6817,G1,1964.0,C7,1
Director_6971,G1,1961.0,C1,3
Director_7338,G1,1945.0,C14,1
Director_7350,G1,1959.0,C7,1
Director_7363,G1,1939.0,C13,3
Director_7459,G1,1943.0,C7,1
Director_7633,G1,1938.0,C2,2
Director_7796,G1,1959.0,C36,3
Director_7822,G1,1948.0,C37,1
Director_7915,G1,1957.0,C17,19
Director_8077,G1,1963.0,C7,1
Director_8182,G1,1955.0,C7,9
Director_1743436,G2,1950.0,C7,3
Director_8253,G1,1984.0,C7,1
Director_1743654,G2,1968.0,C7,1
Director_8678,G1,1970.0,C7,1
Director_9385,G1,1977.0,C7,4
Director_9432,G1,1929.0,C7,28
Director_9434,G1,1966.0,C33,6
Director_9507,G1,1962.0,C7,1
Director_9523,G1,1890.0,C33,7
Director_9658,G1,1972.0,C2,2
Director_1744377,G2,1976.0,C4,3
Director_10508,G1,1965.0,C30,1
Director_10844,G1,1982.0,C4,1
Director_10868,G1,1946.0,C7,1
Director_10929,G1,1933.0,C7,2
Director_11033,G1,1935.0,C4,12
Director_11037,G1,1944.0,C7,1
Director_11113,G1,1881.0,C7,13
Director_11139,G1,1965.0,C4,1
Director_11147,G1,1967.0,C4,2
Director_11158,G1,1893.0,C18,3
Director_11209,G1,1935.0,C7,1
Director_11297,G1,1902.0,C7,12
Director_11458,G1,1966.0,C17,2
Director_11656,G1,1954.0,C39,2
Director_11794,G1,1989.0,C14,1
Director_11797,G1,1932.0,C48,1
Director_11880,G1,1972.0,C7,3
Director_11883,G1,1975.0,C7,1
