movie.id,movie.kind_id,movie.production_year,movie.runtime,movie.genre,movie.country,movie.rating,movie.tf.movie_actor,movie.tf.movie_director
Movie_62062,K2,2005,4,3,C19,4.0,1,1
Movie_42830,K7,2004,94,13,C39,2.5,2,1
Movie_13634,K2,2006,30,4,C28,2.0,7,2
Movie_40617,K2,2000,25,4,C45,2.6,27,2
Movie_106338,K2,1970,30,16,C14,7.0,13,1
Movie_86671,K2,1964,60,4,C2,6.2,476,6
Movie_53473,K7,1985,100,4,C2,7.9,28,2
Movie_92065,K2,1998,60,4,C2,7.7,1,3
Movie_136555,K7,1980,80,4,C5,7.8,7,1
Movie_142295,K7,1997,90,13,C6,7.7,11,1
Movie_75059,K7,1984,60,4,C2,5.8,10,1
Movie_42937,K2,2000,282,10,C6,5.1,10,1
Movie_44597,K7,1996,103,13,C5,7.7,10,1
Movie_74640,K7,1990,76,5,C2,7.7,13,1
Movie_151167,K2,1996,60,12,C2,4.1,5,2
Movie_60054,K2,1987,26,12,C21,6.7,4,1
Movie_75160,K7,1982,104,23,C2,6.5,17,1
Movie_10564,K7,2010,51,5,C2,5.4,6,1
Movie_157283,K2,1992,30,3,C3,1.7,1,1
Movie_84058,K2,1999,60,3,C5,1.6,4,1
Movie_138910,K7,2006,90,13,C21,5.9,16,1
Movie_75205,K7,1984,110,3,C2,8.2,3,1
Movie_32316,K7,1984,46,3,C2,5.1,11,1
Movie_48986,K2,1998,22,6,C14,5.7,26,1
Movie_119450,K7,2011,97,4,C19,4.6,8,1
Movie_44634,K7,2004,89,4,C5,7.5,13,1
Movie_138915,K7,2002,90,20,C16,5.8,16,1
Movie_77676,K2,2005,60,6,C11,5.5,12,1
Movie_116517,K7,1995,96,6,C28,4.6,9,1
Movie_117441,K2,1966,30,6,C51,6.5,7,2
Movie_75138,K7,1984,90,3,C2,5.7,13,1
Movie_173359,K7,1993,45,5,C5,5.4,1,1
Movie_189887,K2,1985,360,3,C41,3.1,17,1
Movie_86231,K2,1999,90,3,C41,5.1,6,1
Movie_138916,K7,2006,85,20,C21,5.6,13,1
Movie_113482,K7,2004,120,4,C5,6.3,10,1
Movie_137634,K7,1971,93,9,C2,6.3,12,1
Movie_164756,K7,2004,92,3,C6,6.5,14,1
Movie_32289,K7,1985,30,4,C2,5.9,7,1
Movie_108599,K2,1996,30,3,C29,4.9,3,1
Movie_158728,K7,1999,44,5,C2,6.3,24,2
Movie_32283,K7,1973,60,4,C2,3.1,4,1
Movie_20606,K2,1998,54,13,C5,6.9,13,1
Movie_164081,K7,2004,40,3,C6,6.0,2,2
Movie_137905,K2,1950,30,12,C2,6.6,4,1
Movie_38705,K2,2004,30,3,C33,4.7,5,1
Movie_142281,K7,2001,95,13,C6,7.9,9,1
Movie_155321,K2,2003,60,3,C2,1.6,2,1
Movie_55367,K7,1983,60,26,C5,7.1,3,1
Movie_62482,K7,1977,90,4,C26,7.8,13,1
Movie_164000,K2,1986,26,6,C19,6.3,4,1
Movie_25224,K2,1990,5,3,C5,4.1,2,1
Movie_142292,K7,1994,105,13,C6,7.9,8,1
Movie_30947,K2,1993,60,4,C5,4.8,11,1
Movie_32174,K2,1967,30,16,C2,7.6,6,2
Movie_182259,K2,1969,30,4,C2,5.3,36,1
Movie_142483,K2,1965,26,6,C19,7.1,10,1
Movie_34013,K7,1978,24,12,C2,6.3,6,1
Movie_10496,K2,2007,40,18,C2,5.5,3,1
Movie_112149,K2,1969,340,23,C41,6.6,6,1
Movie_8459,K2,2001,60,9,C8,4.5,14,1
Movie_108281,K2,1981,13,3,C5,3.4,3,1
Movie_154170,K2,1977,120,6,C2,5.4,3,1
Movie_15594,K7,2012,100,20,C41,5.5,4,1
Movie_191899,K2,1974,369,4,C37,7.3,41,1
Movie_116513,K7,1995,94,6,C28,5.3,4,1
Movie_68590,K7,2004,57,5,C2,6.5,5,1
Movie_34001,K7,1978,30,3,C2,6.9,6,1
Movie_32286,K7,1985,45,4,C2,6.7,3,1
Movie_151141,K2,1999,54,4,C5,6.8,1,2
Movie_185175,K2,1989,240,20,C2,6.5,8,1
Movie_32363,K7,1980,60,4,C2,5.0,3,1
Movie_74581,K7,1997,60,21,C2,5.9,5,1
Movie_142280,K7,1998,95,13,C6,7.4,4,1
Movie_92040,K7,1996,90,13,C6,7.5,10,1
Movie_32282,K7,1989,60,4,C2,7.0,7,1
Movie_86936,K2,1990,30,8,C2,7.3,1,1
Movie_142269,K2,2002,60,13,C21,4.7,17,1
Movie_119218,K2,1998,45,4,C27,6.4,10,1
Movie_44611,K7,1996,94,13,C5,7.8,10,1
Movie_72896,K7,1981,90,4,C2,5.3,10,1
Movie_115407,K2,2001,446,5,C3,6.6,1,1
Movie_74568,K7,2001,112,5,C2,7.5,34,1
Movie_19410,K7,2006,45,19,C26,5.3,6,1
Movie_34030,K7,1980,45,19,C2,6.8,8,1
Movie_136597,K7,1981,115,4,C5,6.4,7,1
Movie_69870,K2,1990,30,3,C2,2.8,4,1
Movie_75216,K7,1990,90,21,C2,6.1,1,1
Movie_52397,K2,1994,45,4,C66,5.0,3,1
Movie_152912,K2,2001,60,2,C29,1.9,6,1
Movie_138920,K7,2009,88,4,C21,5.8,14,1
Movie_26735,K2,2007,228,4,C11,6.1,28,1
Movie_25663,K2,1988,52,21,C19,6.0,54,1
Movie_98224,K7,1974,77,13,C5,7.5,17,1
Movie_138925,K7,2001,90,13,C20,6.1,14,1
Movie_144806,K2,2002,25,3,C6,7.5,4,2
Movie_55091,K2,2002,30,3,C5,3.8,3,1
Movie_73021,K2,2002,60,4,C2,7.0,2,2
Movie_163318,K2,2006,30,7,C2,1.3,2,1
Movie_137182,K2,2010,30,4,C2,4.8,2,1
Movie_32362,K7,1986,60,4,C2,2.1,5,1
Movie_75156,K7,1988,96,13,C5,5.9,16,1
Movie_195279,K7,1981,100,13,C2,7.2,13,1
Movie_75073,K7,1985,90,3,C2,2.3,5,1
Movie_15590,K7,2012,100,20,C41,5.3,6,1
Movie_32240,K7,1988,54,4,C2,3.2,7,1
Movie_75104,K7,1991,153,24,C2,8.0,13,1
Movie_34358,K7,1979,93,3,C60,5.1,6,1
Movie_135168,K7,1965,110,4,C5,7.7,14,1
Movie_2382,K2,2001,60,13,C2,7.7,1,1
