movie.id,movie.kind_id,movie.production_year,movie.runtime,movie.genre,movie.country,movie.rating,movie.tf.movie_actor,movie.tf.movie_director
Movie_184043,K2,1982,30,4,C5,6.5,88,11
Movie_75106,K7,1981,75,4,C2,5.3,7,1
Movie_115576,K2,2005,30,3,C4,6.3,2,1
Movie_191114,K2,1989,20,3,C25,4.0,3,1
Movie_3280,K2,2006,60,5,C2,4.5,14,1
Movie_33949,K7,1966,51,4,C2,8.3,5,1
Movie_75058,K7,1984,131,4,C2,6.7,9,1
Movie_172299,K2,1992,60,13,C3,6.6,5,1
Movie_62062,K2,2005,4,3,C19,4.0,1,1
Movie_32337,K7,1980,60,4,C2,4.5,2,1
Movie_159011,K7,1994,46,21,C2,7.1,15,1
Movie_158935,K7,1995,45,21,C2,6.8,17,1
Movie_42830,K7,2004,94,13,C39,2.5,2,1
Movie_13634,K2,2006,30,4,C28,2.0,7,2
Movie_145323,K2,1982,60,5,C26,5.3,2,1
Movie_82255,K2,1975,30,4,C5,5.8,2,2
Movie_40617,K2,2000,25,4,C45,2.6,27,2
Movie_106338,K2,1970,30,16,C14,7.0,13,1
Movie_180765,K2,2002,60,4,C2,5.3,9,2
Movie_162862,K7,1980,52,6,C5,7.5,11,1
Movie_74611,K7,1997,60,21,C2,7.6,2,1
Movie_183341,K7,1987,93,4,C41,5.3,5,1
Movie_143557,K2,2006,22,7,C2,2.2,1,1
Movie_53133,K7,1980,10,16,C21,6.0,1,1
Movie_60506,K7,1994,96,13,C6,6.3,11,1
Movie_86671,K2,1964,60,4,C2,6.2,476,6
Movie_177634,K2,2000,25,3,C11,7.2,17,5
Movie_75134,K7,1982,102,4,C2,5.8,6,1
Movie_133769,K7,1989,95,9,C2,5.4,22,1
Movie_144038,K2,1999,45,9,C6,4.1,10,4
Movie_32233,K7,1986,60,4,C2,4.2,8,1
Movie_15589,K7,2012,100,20,C41,4.8,6,1
Movie_59478,K2,1977,30,3,C2,7.6,12,2
Movie_53473,K7,1985,100,4,C2,7.9,28,2
Movie_128225,K7,1975,100,27,C2,5.7,17,1
Movie_45119,K2,2003,45,3,C11,5.2,56,1
Movie_92065,K2,1998,60,4,C2,7.7,1,3
Movie_136555,K7,1980,80,4,C5,7.8,7,1
Movie_142295,K7,1997,90,13,C6,7.7,11,1
Movie_164032,K2,1979,480,21,C2,6.7,39,1
Movie_75110,K7,1988,106,4,C2,6.6,5,1
Movie_142300,K7,1995,109,13,C6,7.6,10,1
Movie_75059,K7,1984,60,4,C2,5.8,10,1
Movie_42937,K2,2000,282,10,C6,5.1,10,1
Movie_74546,K7,1993,155,21,C2,8.1,16,1
Movie_52145,K7,1962,53,4,C2,6.1,23,1
Movie_174748,K2,1996,30,3,C2,6.5,1,2
Movie_72606,K2,1990,30,5,C2,7.5,1,1
Movie_6664,K2,2011,25,4,C51,3.6,2,1
Movie_44597,K7,1996,103,13,C5,7.7,10,1
Movie_75093,K7,1983,90,21,C2,6.9,8,1
Movie_74640,K7,1990,76,5,C2,7.7,13,1
Movie_164220,K7,2004,90,4,C6,7.0,8,1
Movie_98460,K7,1960,60,4,C5,6.0,10,1
Movie_151167,K2,1996,60,12,C2,4.1,5,2
Movie_137259,K2,1975,60,4,C2,6.5,15,2
Movie_44604,K7,1995,103,19,C5,7.5,12,1
Movie_75179,K7,1985,118,4,C2,5.8,6,1
Movie_60054,K2,1987,26,12,C21,6.7,4,1
Movie_138927,K7,2002,90,13,C16,5.8,17,1
Movie_75160,K7,1982,104,23,C2,6.5,17,1
Movie_10564,K7,2010,51,5,C2,5.4,6,1
Movie_157283,K2,1992,30,3,C3,1.7,1,1
Movie_75154,K7,1988,253,4,C5,6.6,8,1
Movie_137922,K2,1979,30,12,C2,6.2,10,1
Movie_7788,K2,2007,480,11,C2,5.4,8,1
Movie_84058,K2,1999,60,3,C5,1.6,4,1
Movie_41728,K2,1967,30,12,C3,4.9,7,1
Movie_75061,K7,1989,171,4,C2,7.0,9,1
Movie_138910,K7,2006,90,13,C21,5.9,16,1
Movie_141785,K2,1982,60,3,C26,6.7,25,1
Movie_10574,K7,2010,51,5,C2,6.4,13,1
Movie_75205,K7,1984,110,3,C2,8.2,3,1
Movie_34011,K7,1988,42,6,C2,6.7,13,1
Movie_138696,K7,1995,60,16,C2,7.9,10,1
Movie_158729,K7,2000,42,21,C2,5.8,6,2
Movie_32316,K7,1984,46,3,C2,5.1,11,1
Movie_75140,K7,1986,180,4,C2,6.6,7,1
Movie_48986,K2,1998,22,6,C14,5.7,26,1
Movie_44732,K2,1969,30,3,C19,6.9,3,1
Movie_119450,K7,2011,97,4,C19,4.6,8,1
Movie_59249,K2,2001,60,4,C2,6.3,1,1
Movie_74658,K7,2000,55,21,C2,7.0,22,1
Movie_75136,K7,1993,184,17,C5,6.7,8,1
Movie_172685,K2,2003,20,12,C5,4.3,2,2
Movie_143483,K2,1975,60,21,C3,7.7,2,1
Movie_44634,K7,2004,89,4,C5,7.5,13,1
Movie_150458,K2,1992,30,5,C6,3.9,1,1
Movie_138915,K7,2002,90,20,C16,5.8,16,1
Movie_77676,K2,2005,60,6,C11,5.5,12,1
Movie_47424,K2,2003,24,9,C14,6.6,1,1
Movie_32224,K7,1982,45,6,C2,6.1,13,1
Movie_138917,K7,2006,88,13,C21,5.5,17,1
Movie_116517,K7,1995,96,6,C28,4.6,9,1
Movie_3800,K2,2006,22,4,C28,4.8,2,1
Movie_117441,K2,1966,30,6,C51,6.5,7,2
Movie_75138,K7,1984,90,3,C2,5.7,13,1
Movie_44603,K7,1995,100,13,C5,7.9,13,1
Movie_112248,K2,1985,52,4,C19,6.6,17,1
Movie_173359,K7,1993,45,5,C5,5.4,1,1
Movie_99703,K2,2001,30,4,C4,5.4,11,1
Movie_189887,K2,1985,360,3,C41,3.1,17,1
Movie_86231,K2,1999,90,3,C41,5.1,6,1
Movie_3201,K2,1997,30,16,C2,5.8,3,1
Movie_138916,K7,2006,85,20,C21,5.6,13,1
Movie_113482,K7,2004,120,4,C5,6.3,10,1
Movie_137634,K7,1971,93,9,C2,6.3,12,1
Movie_164756,K7,2004,92,3,C6,6.5,14,1
Movie_97512,K7,1988,52,5,C5,6.2,1,1
Movie_32289,K7,1985,30,4,C2,5.9,7,1
Movie_13604,K2,2006,60,9,C41,4.9,3,1
Movie_108599,K2,1996,30,3,C29,4.9,3,1
Movie_183839,K2,1987,60,4,C5,7.2,4,1
Movie_158728,K7,1999,44,5,C2,6.3,24,2
Movie_55009,K2,1958,30,3,C5,5.6,6,1
Movie_142284,K7,2004,90,13,C6,7.6,10,1
Movie_191358,K2,2000,30,3,C28,3.5,9,1
Movie_86592,K2,1992,296,4,C11,6.9,46,2
Movie_51837,K2,1993,50,6,C6,6.3,1,1
Movie_32283,K7,1973,60,4,C2,3.1,4,1
Movie_190802,K2,1987,160,21,C5,7.6,16,1
Movie_138924,K7,1997,91,13,C21,5.5,17,1
Movie_20606,K2,1998,54,13,C5,6.9,13,1
Movie_158831,K7,1995,55,21,C2,7.5,10,1
